field_family,field_name,scale,layer,definition,zero_means,maximum_means,caution
early_advantage,early_family_financial_platform_support_score,0-2,interpretive_annotation,"Documented family money, safety, business platform, or resource support that materially extended early experimentation.",No clear documented advantage in reviewed sources; not proof of poverty or absence.,"Unusually strong financial, corporate, celebrity, or resource platform.",Sensitive and frequently under-documented. Prefer two strong sources for score 2.
early_advantage,parent_family_domain_advantage_score,0-2,interpretive_annotation,"Relevant knowledge, coaching, equipment access, or industry fluency transferred by parents or close family.",No clear relevant family-domain transfer documented.,Direct apprenticeship or unusually relevant expert family environment.,Do not infer expertise from occupation title alone.
early_advantage,inherited_audience_business_network_score,0-2,interpretive_annotation,"Pre-existing audience, brand, corporate platform, investor network, or high-status access available before personal market proof.",No clear inherited distribution or business network documented.,"Large, directly usable platform or exceptional network.",Separate inherited access from networks earned through later work.
early_advantage,elite_institution_performance_pipeline_score,0-2,interpretive_annotation,"Selective school, university, lab, employer, accelerator, academy, or national pipeline that concentrated opportunity.",No clear elite pipeline documented.,Highly selective and materially catalytic pipeline.,Institution attendance alone does not prove causality.
early_advantage,frontier_geography_ecosystem_score,0-2,interpretive_annotation,"Physical or social proximity to an emerging technological, cultural, commercial, or performance frontier.",No clear frontier proximity documented.,Direct immersion in the wave's densest early ecosystem.,"Use contemporaneous context, not hindsight alone."
early_advantage,rare_early_tools_facilities_score,0-2,interpretive_annotation,"Unusually early access to scarce computers, labs, studios, equipment, academies, or other high-value infrastructure.",No clear rare access documented.,Access was exceptionally scarce for the time and enabled substantial early repetition.,Judge rarity relative to place and era.
early_advantage,dedicated_mentor_coach_tutor_score,0-2,interpretive_annotation,"A high-quality adult supplied sustained, individualized feedback or opportunity.",No sustained mentor documented.,"Long-running, unusually capable mentor or coach materially accelerated progress.",One meeting or famous introduction is not sustained mentorship.
early_advantage,exceptional_peer_cofounder_sibling_score,0-2,interpretive_annotation,"A high-trust peer, sibling, cofounder, or collaborator multiplied learning and execution.",No meaningful collaborator documented at the relevant stage.,Durable and strongly complementary collaborator or peer group.,Team size is not team quality.
early_advantage,early_online_platform_community_score,0-2,interpretive_annotation,"Early use of an online platform or community for learning, feedback, reputation, or distribution.",No meaningful platform-native compounding documented.,Platform or community was central to learning and distribution.,Distinguish casual use from a repeatable channel.
early_advantage,direct_customer_domain_exposure_score,0-2,interpretive_annotation,"Direct immersion in the customer problem, profession, or domain before the breakout.",Distant or abstract relationship to the problem.,Deep lived or repeated operational exposure.,This score was generously coded in v0.1 and should receive special audit attention.
early_advantage,prodigy_physical_edge_score,0-2,interpretive_annotation,"Unusually high early cognitive, creative, or physical ability that changed access and response from institutions.",No exceptional early ability documented.,Clear prodigy-level or elite physical ability documented.,Avoid retroactively labelling every successful person a prodigy.
early_advantage,adversity_constraint_catalyst_score,0-2,interpretive_annotation,"Hardship, outsider status, health, language, or institutional friction that created urgency or a distinctive problem lens.",No clear catalytic constraint documented.,Major constraint was central to the path.,Adversity is not an advantage in itself and should not be romanticized.
